Title,Author,AmountOfEditions
It Ends With Us,Colleen Hoover,28 editions
The Subtle Art of Not Giving a F*ck,Mark Manson,37 editions
Atomic Habits,James Clear,31 editions
The 48 Laws of Power,Robert Greene,26 editions
"Rich Dad, Poor Dad",Robert T. Kiyosaki,62 editions
Harry Potter and the Philosopher's Stone,J. K. Rowling,315 editions
It Starts with Us,Colleen Hoover,16 editions
Latidos Que No Dije,Roos,2 editions
Think and grow rich,Napoleon Hill,124 editions
It,Stephen King,69 editions
How to Win Friends and Influence People,Dale Carnegie,92 editions
The Love Hypothesis,Ali Hazelwood,7 editions
Ugly Love,Colleen Hoover,10 editions
Shatter Me,Tahereh Mafi,13 editions
A Game of Thrones,George R. R. Martin,87 editions
A Court of Mist and Fury,Sarah J. Maas,26 editions
Twisted Love,Ana Huang,8 editions
I'm Glad My Mom Died,Jennette McCurdy,5 editions
Verity,Colleen Hoover,16 editions
Harry Potter and the Chamber of Secrets,J. K. Rowling,235 editions
Nineteen Eighty-Four,George Orwell,428 editions
Diary of a Wimpy Kid,Jeff Kinney,55 editions
The Hunger Games,Suzanne Collins,104 editions
To Kill a Mockingbird,Harper Lee,136 editions
Twilight,Stephenie Meyer,103 editions
Harry Potter and the Deathly Hallows,J. K. Rowling,115 editions
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,206 editions
The 7 Habits of Highly Effective People,Stephen R. Covey,74 editions
Pride and Prejudice,Jane Austen,3710 editions
The Hobbit,J.R.R. Tolkien,335 editions
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,15 editions
November 9,Colleen Hoover,8 editions
Where the Crawdads Sing,Delia Owens,29 editions
The Fault in Our Stars,John Green,63 editions
The Cruel Prince,Holly Black,13 editions
Fahrenheit 451,Ray Bradbury,211 editions
Harry Potter and the Goblet of Fire,J. K. Rowling,184 editions
Fifty Shades of Grey,E. L. James,73 editions
Wonder,R. J. Palacio,54 editions
Sapiens: A Brief History of Humankind,Yuval Noah Harari,41 editions
The Lightning Thief,Rick Riordan,75 editions
Animal Farm,George Orwell,382 editions
The Hate U Give,Angie Thomas,49 editions
The Psychology of Money,Morgan Housel,6 editions
Harry Potter and the Order of the Phoenix,J. K. Rowling,160 editions
"Heartstopper, Volume 1",Alice Oseman,14 editions
"Thinking, fast and slow",Daniel Kahneman,26 editions
The power of positive thinking,Norman Vincent Peale,32 editions
The Song of Achilles,Madeline Miller,26 editions
Matilda,Roald Dahl,149 editions
Charlotte's Web,E. B. White,145 editions
Brave New World,Aldous Huxley,501 editions
The Da Vinci Code,Dan Brown,171 editions
The Summer I Turned Pretty,Jenny Han,19 editions
"Rich dad, poor dad",Robert T. Kiyosaki,1 edition
Lord of the Flies,William Golding,161 editions
Reminders of Him,Colleen Hoover,6 editions
Harry Potter and the Half-Blood Prince,J. K. Rowling,122 editions
The Handmaid's Tale,Margaret Atwood,139 editions
101 Essays That Will Change The Way You Think,Brianna Wiest,3 editions
O Alquimista,Paulo Coelho,110 editions
Charlie and the Chocolate Factory,Roald Dahl,212 editions
The Silent Patient,Alex Michaelides,17 editions
Lolita,Vladimir Nabokov,133 editions
The Shining,Stephen King,77 editions
Girl in Pieces,Kathleen Glasgow,12 editions
They both die at the end,Adam Silvera,12 editions
Dune,Frank Herbert,112 editions
A Good Girl's Guide to Murder,Holly Jackson,21 editions
Twisted Lies,Ana Huang,5 editions
Haunting Adeline,H. D. Carlton,5 editions
The catcher in the rye,J. D. Salinger,116 editions
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,1136 editions
The Eyes of Darkness,Dean Koontz,32 editions
Punk 57,Penelope Douglas,11 editions
Pet Sematary,Stephen King,69 editions
The Great Gatsby,F. Scott Fitzgerald,1174 editions
The Giver,Lois Lowry,106 editions
Misery,Stephen King,77 editions
A Gentle Reminder,Bianca Sparacino,3 editions
The Laws of Human Nature,Robert Greene,5 editions
The Spanish Love Deception,Elena Armas,4 editions
"Red, White & Royal Blue",Casey McQuiston,14 editions
Hatchet,Gary Paulsen,80 editions
The Perks of Being a Wallflower,Stephen Chbosky,36 editions
Don't Believe Everything You Think,Joseph Nguyen,4 editions
Dog Days,Carol Cox,50 editions
The Art of Seduction,Robert Greene,6 editions
Carrie,Stephen King,98 editions
Coraline,Neil Gaiman,72 editions
The Lord of the Rings,J.R.R. Tolkien,158 editions
The Book Thief,Markus Zusak,81 editions
No longer human,Osamu Dazai,15 editions
Six of Crows,Leigh Bardugo,31 editions
12 Rules for Life,Jordan B. Peterson,11 editions
Girl In pieces: a Novel,Kathleen Glasgow,2 editions
A Brief History of Time: From the big bang to black holes,Stephen Hawking,86 editions
Little Women,Louisa May Alcott,1547 editions
Sunzi bing fa,Sun Tzu,155 editions
Atomic Habits : How to Build Good Habits and Break Bad Ones,Wood KAYLA,1 edition
